"Anno","Cittadinanza","Maschi","Femmine","Totale"
"2024","Sudan","2124","641","2765"
"2024","Sud Sudan","139","43","182"
"2024","Suriname","2","9","11"
"2024","Svezia","1162","2121","3283"
"2024","Svizzera","3307","4487","7794"
"2024","Tagikistan","49","52","101"
"2024","Taiwan","178","524","702"
"2024","Tanzania","589","734","1323"
"2024","Thailandia","578","5211","5789"
"2024","Timor Leste","14","82","96"
"2024","Togo","3551","1712","5263"
"2024","Tonga","9","5","14"
"2024","Trinidad e Tobago","12","32","44"
"2024","Tunisia","69633","40762","110395"
"2024","Turchia","12453","9158","21611"
"2024","Turkmenistan","22","50","72"
"2024","Ucraina","66131","207353","273484"
"2024","Uganda","301","366","667"
"2024","Ungheria","2207","5852","8059"
"2024","Uruguay","502","740","1242"
"2024","Uzbekistan","370","805","1175"
"2024","Vanuatu","1","4","5"
"2024","Venezuela","5607","9396","15003"
"2024","Vietnam","521","1208","1729"
"2024","Yemen","199","131","330"
"2024","Zambia","112","144","256"
"2024","Zimbabwe","106","148","254"
"2024","Totale","28846728","30124502","58971230"
